Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TATAMOTORS,14-Aug-2024,29-Aug-2024,1056.05,1063.10,1043.50,1057.25,1057.45,1057.25,18587.00,107836.03,54759650.00,-771650.00,1062.35
TATAMOTORS,14-Aug-2024,26-Sep-2024,1057.35,1065.65,1045.65,1057.95,1058.65,1057.95,6689.00,38868.49,12468500.00,1686300.00,1062.35
TATAMOTORS,14-Aug-2024,31-Oct-2024,1063.00,1066.60,1049.50,1058.80,1059.05,1058.80,458.00,2666.14,1562550.00,67100.00,1062.35
TATAMOTORS,16-Aug-2024,29-Aug-2024,1068.05,1096.20,1065.40,1093.15,1092.50,1093.15,35333.00,210635.05,53571650.00,-1188000.00,1098.35
TATAMOTORS,16-Aug-2024,26-Sep-2024,1068.85,1095.95,1067.10,1093.35,1093.05,1093.35,8297.00,49416.33,13486000.00,1017500.00,1098.35
TATAMOTORS,16-Aug-2024,31-Oct-2024,1074.00,1096.65,1073.85,1094.10,1093.00,1094.10,1025.00,6114.01,1703900.00,141350.00,1098.35
TATAMOTORS,19-Aug-2024,29-Aug-2024,1102.20,1105.00,1081.75,1088.70,1089.70,1088.70,17817.00,106703.63,53527100.00,-44550.00,1087.70
TATAMOTORS,19-Aug-2024,26-Sep-2024,1095.00,1111.90,1083.25,1089.80,1090.45,1089.80,6041.00,36217.47,14286800.00,800800.00,1087.70
TATAMOTORS,19-Aug-2024,31-Oct-2024,1097.00,1104.30,1084.65,1090.25,1091.70,1090.25,635.00,3812.20,1772100.00,68200.00,1087.70
TATAMOTORS,20-Aug-2024,29-Aug-2024,1091.55,1096.00,1081.80,1087.80,1087.20,1087.80,20190.00,120701.60,52201050.00,-1326050.00,1086.90
TATAMOTORS,20-Aug-2024,26-Sep-2024,1094.90,1097.55,1080.60,1085.35,1084.85,1085.35,23603.00,140858.14,17970700.00,3683900.00,1086.90
TATAMOTORS,20-Aug-2024,31-Oct-2024,1097.35,1098.90,1084.00,1086.40,1086.55,1086.40,1356.00,8109.69,2119700.00,347600.00,1086.90
TATAMOTORS,21-Aug-2024,29-Aug-2024,1085.15,1094.40,1083.95,1086.00,1086.70,1086.00,11126.00,66579.21,51652150.00,-548900.00,1085.20
TATAMOTORS,21-Aug-2024,26-Sep-2024,1087.30,1092.05,1081.50,1083.05,1083.65,1083.05,8415.00,50211.21,20295000.00,2324300.00,1085.20
TATAMOTORS,21-Aug-2024,31-Oct-2024,1088.55,1092.85,1082.00,1083.05,1084.10,1083.05,813.00,4857.84,2334200.00,214500.00,1085.20
TATAMOTORS,22-Aug-2024,29-Aug-2024,1088.00,1093.35,1066.80,1069.60,1072.00,1069.60,19217.00,113495.46,50229300.00,-1422850.00,1068.45
TATAMOTORS,22-Aug-2024,26-Sep-2024,1087.95,1090.00,1066.80,1069.80,1071.80,1069.80,13559.00,80038.05,22649550.00,2354550.00,1068.45
TATAMOTORS,22-Aug-2024,31-Oct-2024,1082.00,1082.00,1064.60,1067.05,1070.90,1067.05,4198.00,24720.45,4034800.00,1700600.00,1068.45
